,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,_strategy,_equity_curve,
0,3116 days,81.23836127,481.735,10969.9295,-95.18265,703.458242,-29.94016365,22.38751424,0,0,0,-95.60858618,-49.98610261,3091 days,1554 days,407,39.55773956,20.43429343,-13.31568498,-0.684697969,56 days,7 days,0.784555299,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25    481.735     0.956086              NaT
2013-02-26    481.735     0.956086              NaT
2013-02-27    481.735     0.956086              NaT
2013-02-28    481.735     0.956086              NaT
2013-03-01    481.735     0.956086        3091 days

[2148 rows x 3 columns]",
1,3116 days,99.90689013,1095.7385,11496.0425,-89.042615,703.458242,-22.8492916,27.58288136,0,0,0,-90.47430018,-23.72493687,3101 days,778 days,499,45.89178357,13.79027612,-20.43429343,-0.36262775,56 days,8 days,0.908359358,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23  10121.5000     0.000000              NaT
2004-08-24  10594.9900     0.000000              NaT
2004-08-25  10483.9300     0.010482              NaT
...                ...          ...              ...
2013-02-25   1111.1585     0.903344              NaT
2013-02-26   1111.7985     0.903289              NaT
2013-02-27   1102.1485     0.904128              NaT
2013-02-28   1100.7285     0.904252              NaT
2013-03-01   1095.7385     0.904686        3101 days

[2148 rows x 3 columns]",
2,3116 days,99.90689013,235232.304,247538.083,2252.32304,703.458242,44.84445642,55.17262661,0.812802637,1.816284466,0.900512921,-49.79879286,-6.395511216,560 days,41 days,595,55.79831933,13.79027612,-20.43429343,0.545753073,58 days,9 days,1.338889985,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  230745.084     0.067840              NaT
2013-02-26  230558.844     0.068592              NaT
2013-02-27  233366.994     0.057248              NaT
2013-02-28  233780.214     0.055579              NaT
2013-03-01  235232.304     0.049713         560 days

[2148 rows x 3 columns]",
3,3116 days,99.90689013,297713.355,394425.672,2877.13355,703.458242,48.90309101,56.90528137,0.859377018,2.026658899,0.94275669,-51.87244125,-6.895516303,584 days,41 days,608,58.55263158,16.82491869,-15.3051017,0.839748522,58 days,9 days,1.524020707,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  292023.375     0.259624              NaT
2013-02-26  291787.215     0.260223              NaT
2013-02-27  295348.065     0.251195              NaT
2013-02-28  295872.045     0.249866              NaT
2013-03-01  297713.355     0.245198         584 days

[2148 rows x 3 columns]",
4,3116 days,69.13407821,131385.965,131492.885,1213.85965,703.458242,35.27776396,38.90334545,0.906805406,1.963451981,0.987486157,-35.72481873,-5.163008003,675 days,46 days,253,60.4743083,13.31568498,-9.55830551,1.092056231,54 days,9 days,1.692535389,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  128887.925     0.019811              NaT
2013-02-26  128784.245     0.020599              NaT
2013-02-27  130347.545     0.008710              NaT
2013-02-28  130577.585     0.006961              NaT
2013-03-01  131385.965     0.000813          10 days

[2148 rows x 3 columns]",
5,3116 days,99.90689013,1955.023,12047.35,-80.44977,703.458242,-17.42681312,30.74101509,0,0,0,-83.78313073,-33.35917316,1648 days,623 days,536,47.01492537,13.79027612,-20.43429343,-0.298629412,56 days,8 days,0.933565397,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25   1985.863     0.835162              NaT
2013-02-26   1987.143     0.835056              NaT
2013-02-27   1967.843     0.836658              NaT
2013-02-28   1965.003     0.836893              NaT
2013-03-01   1955.023     0.837722        1453 days

[2148 rows x 3 columns]",
6,3116 days,99.90689013,90778.271,112657.4445,807.78271,703.458242,29.53553966,48.08096283,0.614287608,1.219586848,0.527018365,-56.04271429,-5.518225328,844 days,44 days,513,54.97076023,14.50331126,-20.43429343,0.503817871,56 days,8 days,1.329997715,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25  89051.231     0.209540              NaT
2013-02-26  88979.551     0.210176              NaT
2013-02-27  90060.351     0.200582              NaT
2013-02-28  90219.391     0.199171              NaT
2013-03-01  90778.271     0.194210         844 days

[2148 rows x 3 columns]",
7,3116 days,99.90689013,293061.292,321418.518,2830.61292,703.458242,48.62821836,55.95131322,0.869116658,1.996124333,1.062542911,-45.76588661,-6.916314635,560 days,42 days,618,55.82524272,13.79027612,-20.43429343,0.581032122,58 days,9 days,1.361183794,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.000     0.000000              NaT
2004-08-20   10000.000     0.000000              NaT
2004-08-23   10121.500     0.000000              NaT
2004-08-24   10594.990     0.000000              NaT
2004-08-25   10483.930     0.010482              NaT
...                ...          ...              ...
2013-02-25  287463.832     0.105640              NaT
2013-02-26  287231.512     0.106363              NaT
2013-02-27  290734.462     0.095464              NaT
2013-02-28  291249.922     0.093861              NaT
2013-03-01  293061.292     0.088225         560 days

[2148 rows x 3 columns]",
8,3116 days,99.90689013,1048.798,14888.6625,-89.51202,703.458242,-23.24457164,25.98426413,0,0,0,-94.4673002,-20.1032408,2948 days,443 days,487,44.35318275,20.43429343,-14.50331126,-0.39206035,56 days,8 days,0.884491443,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25   1064.218     0.928522              NaT
2013-02-26   1064.858     0.928479              NaT
2013-02-27   1055.208     0.929127              NaT
2013-02-28   1053.788     0.929222              NaT
2013-03-01   1048.798     0.929557        2948 days

[2148 rows x 3 columns]",
9,3116 days,81.75046555,721.9205,12098.084,-92.780795,703.458242,-26.53512246,22.61221234,0,0,0,-96.38003009,-36.97646123,3077 days,1035 days,384,38.02083333,20.43429343,-13.79027612,-0.927920548,42 days,7 days,0.703264856,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23   9878.5000     0.012150              NaT
2004-08-24   9470.8000     0.052920              NaT
2004-08-25   9572.5000     0.042750              NaT
...                ...          ...              ...
2013-02-25    721.9205     0.940328              NaT
2013-02-26    721.9205     0.940328              NaT
2013-02-27    721.9205     0.940328              NaT
2013-02-28    721.9205     0.940328              NaT
2013-03-01    721.9205     0.940328        3077 days

[2148 rows x 3 columns]",
10,3116 days,97.71880819,701.7955,11492.2825,-92.982045,703.458242,-26.77839742,23.71657578,0,0,0,-94.26672639,-24.67304342,3101 days,778 days,462,43.29004329,20.43429343,-13.43542785,-0.531226003,56 days,8 days,0.836584613,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23  10121.5000     0.000000              NaT
2004-08-24  10594.9900     0.000000              NaT
2004-08-25  10483.9300     0.010482              NaT
...                ...          ...              ...
2013-02-25    701.7955     0.938933              NaT
2013-02-26    701.7955     0.938933              NaT
2013-02-27    701.7955     0.938933              NaT
2013-02-28    701.7955     0.938933              NaT
2013-03-01    701.7955     0.938933        3101 days

[2148 rows x 3 columns]",
11,3116 days,99.90689013,2765.438,11320.1525,-72.34562,703.458242,-13.99798692,30.94440903,0,0,0,-88.35083273,-31.26800187,2599 days,622 days,469,47.54797441,20.43429343,-13.79027612,-0.211393408,56 days,8 days,0.959455622,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25   2719.178     0.759793              NaT
2013-02-26   2717.258     0.759963              NaT
2013-02-27   2746.208     0.757405              NaT
2013-02-28   2750.468     0.757029              NaT
2013-03-01   2765.438     0.755707        2599 days

[2148 rows x 3 columns]",
12,3116 days,99.90689013,4739.034,22944.1125,-52.60966,703.458242,-8.38798458,34.09772003,0,0,0,-83.08357972,-16.89153639,1892 days,257 days,531,51.03578154,20.43429343,-13.79027612,0.067062993,56 days,8 days,1.090509417,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25   4661.934     0.796813              NaT
2013-02-26   4658.734     0.796953              NaT
2013-02-27   4706.984     0.794850              NaT
2013-02-28   4714.084     0.794541              NaT
2013-03-01   4739.034     0.793453        1892 days

[2148 rows x 3 columns]",
13,3116 days,67.92364991,484.6925,10000,-95.153075,703.458242,-29.88983931,21.06110254,0,0,0,-95.273045,-95.273045,3115 days,3115 days,379,37.99472296,20.43429343,-13.79027612,-0.918091619,42 days,7 days,0.698234646,GeneticStrategy,"                Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.0000     0.000000              NaT
2004-08-20  10000.0000     0.000000              NaT
2004-08-23   9878.5000     0.012150              NaT
2004-08-24   9470.8000     0.052920              NaT
2004-08-25   9572.5000     0.042750              NaT
...                ...          ...              ...
2013-02-25    484.6925     0.951531              NaT
2013-02-26    484.6925     0.951531              NaT
2013-02-27    484.6925     0.951531              NaT
2013-02-28    484.6925     0.951531              NaT
2013-03-01    484.6925     0.951531        3115 days

[2148 rows x 3 columns]",
14,3116 days,99.90689013,1201.015,11496.0425,-87.98985,703.458242,-22.01446393,27.50216012,0,0,0,-89.55853721,-23.49599613,3101 days,778 days,489,44.5807771,13.79027612,-20.43429343,-0.519774243,56 days,8 days,0.845231445,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25   1216.435     0.894187              NaT
2013-02-26   1217.075     0.894131              NaT
2013-02-27   1207.425     0.894970              NaT
2013-02-28   1206.005     0.895094              NaT
2013-03-01   1201.015     0.895528        3101 days

[2148 rows x 3 columns]",
15,3116 days,98.83612663,36794.999,47224.38,267.94999,703.458242,16.51382409,43.55386328,0.379158652,0.667216474,0.202487987,-81.55458685,-9.179969849,1908 days,93 days,400,51.5,20.43429343,-9.647676336,0.328025743,56 days,8 days,1.218849052,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25  36101.099     0.235541              NaT
2013-02-26  36072.299     0.236151              NaT
2013-02-27  36506.549     0.226955              NaT
2013-02-28  36570.449     0.225602              NaT
2013-03-01  36794.999     0.220847        1908 days

[2148 rows x 3 columns]",
16,3116 days,99.90689013,162050.7045,170732.8595,1520.507045,703.458242,38.64823781,52.37923256,0.73785422,1.561394642,0.771669077,-50.083953,-7.127024824,560 days,44 days,580,55.86206897,13.31568498,-20.43429343,0.510488984,58 days,9 days,1.321377651,GeneticStrategy,"                 Equity  DrawdownPct DrawdownDuration
2004-08-19   10000.0000     0.000000              NaT
2004-08-20   10000.0000     0.000000              NaT
2004-08-23    9878.5000     0.012150              NaT
2004-08-24    9470.8000     0.052920              NaT
2004-08-25    9572.5000     0.042750              NaT
...                 ...          ...              ...
2013-02-25  158951.2845     0.069006              NaT
2013-02-26  158822.6445     0.069759              NaT
2013-02-27  160762.2945     0.058399              NaT
2013-02-28  161047.7145     0.056727              NaT
2013-03-01  162050.7045     0.050852         560 days

[2148 rows x 3 columns]",
17,3116 days,99.48789572,2175.082,12636.9825,-78.24918,703.458242,-16.38702469,30.44467657,0,0,0,-84.53622928,-33.90904766,1558 days,622 days,528,47.34848485,14.50331126,-20.43429343,-0.281315872,56 days,8 days,0.93654354,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23  10121.500     0.000000              NaT
2004-08-24  10594.990     0.000000              NaT
2004-08-25  10483.930     0.010482              NaT
...               ...          ...              ...
2013-02-25   2144.242     0.830320              NaT
2013-02-26   2142.962     0.830421              NaT
2013-02-27   2162.262     0.828894              NaT
2013-02-28   2165.102     0.828669              NaT
2013-03-01   2175.082     0.827880        1558 days

[2148 rows x 3 columns]",
18,3116 days,68.34264432,83626.727,83694.707,736.26727,703.458242,28.29451353,35.91661739,0.78778336,1.575926299,0.762868069,-37.08965506,-5.399116562,680 days,48 days,243,59.25925926,13.31568498,-9.55830551,0.904144918,54 days,9 days,1.562712776,GeneticStrategy,"               Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.000     0.000000              NaT
2004-08-20  10000.000     0.000000              NaT
2004-08-23   9878.500     0.012150              NaT
2004-08-24   9470.800     0.052920              NaT
2004-08-25   9572.500     0.042750              NaT
...               ...          ...              ...
2013-02-25  82038.467     0.019789              NaT
2013-02-26  81972.547     0.020577              NaT
2013-02-27  82966.497     0.008701              NaT
2013-02-28  83112.757     0.006953              NaT
2013-03-01  83626.727     0.000812          10 days

[2148 rows x 3 columns]",
